ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.486966,6.523803,4.58699,4.613011,16.013,0.2649917,3.105155,0.1046335,,NONE
-1,6.486877,6.523887,4.587008,4.612994,16.01301,0.2730197,3.105039,0.2031602,,NONE
-1,6.486858,6.523904,4.586996,4.613005,16.01302,0.2752559,3.105016,0.305813,,NONE
-1,6.486844,6.523921,4.586985,4.613017,16.01303,0.2756781,3.105015,0.4029004,,NONE
-1,6.486833,6.523933,4.586973,4.613028,16.01303,0.275742,3.105016,0.5028268,,NONE
-1,6.486823,6.523945,4.586966,4.613036,16.01304,0.2757454,3.105016,0.6005899,,NONE
-1,6.486807,6.523961,4.586954,4.613047,16.01305,0.2757442,3.105015,0.7038289,,NONE
-1,6.486794,6.523974,4.586945,4.613057,16.01306,0.2757437,3.105016,0.8016818,,NONE
-1,6.48678,6.523986,4.586935,4.613066,16.01307,0.2757432,3.105016,0.9013159,,NONE
-1,6.486766,6.524002,4.586926,4.613076,16.01308,0.2757436,3.105016,1.006207,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757434,3.105016,1.101535,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105017,1.200841,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757433,3.105016,1.30533,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105017,1.402959,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.105017,1.503355,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105017,1.60116,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.275744,3.105017,1.700815,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.105017,1.804379,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105017,1.919851,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105017,2.074224,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105017,2.101398,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105017,2.202072,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105017,2.306005,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105017,2.400185,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757429,3.105017,2.504418,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105017,2.601315,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105017,2.705262,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105017,2.8044,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.105017,2.906918,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105017,3.004428,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105017,3.101159,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105017,3.203004,,NONE
-1,6.486763,6.524003,4.586924,4.613078,16.01308,0.275743,3.105017,3.305351,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105017,3.40179,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.105017,3.507904,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105017,3.605658,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105017,3.702264,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.105017,3.802021,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105017,3.906954,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105017,4.003877,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105017,4.106189,,NONE
-1,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105017,4.205397,,NONE
