ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520964,6.489797,4.611083,4.588918,15.98892,0.2647064,3.10516,0.1023708,,NONE
-1,6.520944,6.489818,4.611094,4.588907,15.98892,0.273173,3.105035,0.2071995,,NONE
-1,6.52093,6.489832,4.611088,4.588913,15.98892,0.2752303,3.105014,0.3027544,,NONE
-1,6.520923,6.489839,4.611081,4.58892,15.98893,0.2756761,3.105011,0.4016734,,NONE
-1,6.520916,6.489851,4.611075,4.588926,15.98893,0.2757418,3.105011,0.500708,,NONE
-1,6.520906,6.489858,4.611071,4.588931,15.98894,0.2757457,3.105012,0.6029832,,NONE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757446,3.105013,0.7016592,,NONE
-1,6.520892,6.48987,4.611061,4.58894,15.98895,0.2757435,3.105013,0.8029909,,NONE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.2757432,3.105013,0.903711,,NONE
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757432,3.105013,1.002632,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,1.101663,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105013,1.20474,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105013,1.337164,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.404425,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.504832,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,1.601094,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,1.703637,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757434,3.105013,1.80014,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.900662,,NONE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105013,2.005795,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,2.100599,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757432,3.105013,2.200692,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,2.301294,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757436,3.105013,2.403714,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,2.501613,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,2.606487,,NONE
-1,6.52088,6.489883,4.611051,4.588951,15.98896,0.2757434,3.105013,2.700679,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,2.800105,,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757434,3.105013,2.90171,,NONE
-1,6.52088,6.489883,4.611051,4.588951,15.98896,0.2757432,3.105013,3.00015,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105013,3.103999,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105013,3.204939,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,3.301265,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275743,3.105013,3.403717,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,3.50299,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105013,3.60124,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,3.700133,,NONE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105015,3.800417,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757442,3.105015,3.902749,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105015,4.003426,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757439,3.105015,4.103608,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105015,4.202595,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757439,3.105015,4.304601,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.275744,3.105015,4.401978,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757445,3.105015,4.502005,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105015,4.601566,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105015,4.70406,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105015,4.80176,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757438,3.105015,4.900274,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105015,5.00032,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105015,5.103134,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.275744,3.105015,5.20301,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.275744,3.105015,5.300961,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757427,3.105016,5.402922,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105017,5.500228,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105016,5.601225,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105017,5.701951,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105016,5.803688,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105016,5.900081,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105016,6.001496,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275744,3.105016,6.100346,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105017,6.202019,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105016,6.301965,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105016,6.400439,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757442,3.105016,6.500366,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.275744,3.105016,6.601296,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105016,6.702859,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757437,3.105016,6.810326,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105019,6.9036,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757429,3.105019,7.002664,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105019,7.101794,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757445,3.105019,7.201098,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105019,7.303772,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757444,3.105019,7.402102,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105019,7.504309,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105019,7.602517,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757441,3.105019,7.701501,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105019,7.800396,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105019,7.901522,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.275744,3.105019,8.001006,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757438,3.105019,8.103343,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105019,8.20273,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105019,8.30478,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105019,8.404385,,NONE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105019,8.500996,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.105019,8.60044,,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105019,8.702493,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757432,3.105019,8.803903,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757442,3.105019,8.903624,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757439,3.105019,9.002012,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757443,3.105019,9.103216,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.275744,3.105019,9.204517,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757435,3.105019,9.300529,,NONE
-1,6.520881,6.489886,4.611051,4.588951,15.98896,0.2757435,3.105019,9.403506,,NONE
