ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1.0,6.486966,6.523803,4.58699,4.613011,16.013,0.2639798,3.105173,0.0971592,NONE
-1.0,6.486899,6.523866,4.586994,4.613007,16.01301,0.2690402,3.105089,0.1407552,NONE
-1.0,6.486887,6.52388,4.587002,4.612999,16.01301,0.2698735,3.105078,0.1509267,NONE
-1.0,6.486876,6.523886,4.587008,4.612994,16.01301,0.2732334,3.105036,0.2087826,NONE
-1.0,6.486869,6.523898,4.587002,4.612999,16.01301,0.2744813,3.105022,0.2515781,NONE
-1.0,6.48686,6.523903,4.586996,4.613005,16.01302,0.2752208,3.105016,0.3016252,NONE
-1.0,6.486858,6.523909,4.58699,4.613011,16.01302,0.2755405,3.105013,0.3515576,NONE
-1.0,6.486844,6.523921,4.586985,4.613017,16.01303,0.275678,3.105012,0.4031185,NONE
-1.0,6.486838,6.523929,4.586981,4.61302,16.01303,0.2757251,3.105011,0.4512299,NONE
-1.0,6.486834,6.523934,4.586973,4.613028,16.01303,0.2757428,3.105011,0.5074029,NONE
-1.0,6.486828,6.52394,4.586969,4.613032,16.01304,0.2757456,3.105011,0.5508125,NONE
-1.0,6.486819,6.523947,4.586964,4.613038,16.01304,0.2757455,3.105011,0.6028187,NONE
-1.0,6.486812,6.523955,4.586958,4.613043,16.01305,0.2757444,3.105011,0.6562776,NONE
-1.0,6.486806,6.523961,4.586954,4.613047,16.01305,0.275744,3.105011,0.7071146,NONE
-1.0,6.4868,6.523966,4.58695,4.613051,16.01306,0.2757438,3.105011,0.7522172,NONE
-1.0,6.486792,6.523974,4.586945,4.613057,16.01306,0.2757435,3.105011,0.8049804,NONE
-1.0,6.486787,6.523979,4.586941,4.61306,16.01307,0.2757434,3.105011,0.8502822,NONE
-1.0,6.486779,6.523987,4.586935,4.613066,16.01307,0.2757433,3.105011,0.9004106,NONE
-1.0,6.486773,6.523993,4.586931,4.61307,16.01308,0.2757431,3.105011,0.9546837,NONE
-1.0,6.486766,6.524002,4.586926,4.613076,16.01308,0.2757433,3.105011,1.009583,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757431,3.105011,1.053157,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105012,1.10504,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105011,1.15122,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105011,1.208767,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.275743,3.105011,1.258909,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105011,1.302929,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105011,1.356653,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105011,1.400602,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105011,1.45597,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105011,1.507911,NONE
-1.0,6.486762,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105011,1.55038,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105011,1.602699,NONE
-1.0,6.486762,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105011,1.651248,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757434,3.105011,1.701041,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105011,1.756288,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105011,1.809149,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105011,1.856275,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105011,1.900239,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105011,1.953959,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.00825,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.051992,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105011,2.11049,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105011,2.156729,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.208229,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.105011,2.25112,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.309154,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105011,2.352989,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.405994,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105011,2.453249,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.507566,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105011,2.554276,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.601221,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.654228,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.704574,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105011,2.754584,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105011,2.806935,NONE
